TATA IPL 2025 Auction List-15.12.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reserve
,,,,,,State,,,,,,,,,,,2024,2024,,
List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),,,C/U/A,Price Rs
,,,,,,Association,,,,,,,,,,,Team,IPL,,
,,,,,,,,,,,,,,,,,,,,Lakh
31,5,WK1,Phil,Salt,England,,28/08/1996,28,WICKETKEEPER,RHB,,,25,33,21,"DC,KKR",KKR,12,Capped,200
32,5,WK1,Jitesh,Sharma,India,VCA,22/10/1993,31,WICKETKEEPER,RHB,,,,9,40,"MI,PBKS",PBKS,14,Capped,100
33,6,FA1,Syed Khaleel,Ahmed,India,RCA,05/12/1997,27,BOWLER,RHB,LEFT ARM Fast Medium,,11,18,57,"SRH,DC",DC,14,Capped,200
34,6,FA1,Trent,Boult,New Zealand,,22/07/1989,35,BOWLER,RHB,LEFT ARM Fast Medium,78,114,61,104,"SRH,DC,MI,RR",RR,16,Capped,200
35,6,FA1,Josh,Hazlewood,Australia,,08/01/1991,34,BOWLER,LHB,RIGHT ARM Fast Medium,70,90,52,27,"CSK,RCB",,,Capped,200
36,6,FA1,Avesh,Khan,India,MPCA,13/12/1996,28,BOWLER,RHB,RIGHT ARM Fast,,8,23,63,"RCB,DC,LSG,RR",RR,16,Capped,200
37,6,FA1,Prasidh,Krishna,India,KSCA,19/02/1996,29,BOWLER,RHB,RIGHT ARM Fast,2,17,5,51,"KKR,RR",RR,0,Capped,200
38,6,FA1,T.,Natarajan,India,TNCA,27/05/1991,33,BOWLER,LHB,LEFT ARM Fast Medium,1,2,4,61,"PBKS,SRH",SRH,14,Capped,200
39,6,FA1,Anrich,Nortje,South Africa,,16/11/1993,31,BOWLER,RHB,RIGHT ARM Fast,19,22,42,46,DC,DC,6,Capped,200
40,7,SP1,Noor,Ahmad,Afghanistan,,03/01/2005,20,BOWLER,RHB,LEFT ARM Slow Unorthodox,,10,14,23,GT,GT,10,Capped,200
41,7,SP1,Rahul,Chahar,India,RCA,04/08/1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,,1,6,78,"RPS,MI,PBKS",PBKS,9,Capped,100
42,7,SP1,Wanindu,Hasaranga,Sri Lanka,,29/07/1997,27,BOWLER,RHB,RIGHT ARM Leg Spin,4,58,74,26,"RCB,SRH",SRH,0,Capped,200
43,7,SP1,Waqar,Salamkheil,Afghanistan,,02/10/2001,23,BOWLER,RHB,LEFT ARM Slow Unorthodox,1,,,,,,,Capped,75
44,7,SP1,Maheesh,Theekshana,Sri Lanka,,01/08/2000,24,BOWLER,RHB,RIGHT ARM Off Spin,2,43,55,27,CSK,CSK,5,Capped,200
45,7,SP1,Adam,Zampa,Australia,,31/12/1992,32,BOWLER,RHB,RIGHT ARM Leg Spin,103,,92,20,"RPS,RCB,RR",RR,0,Capped,200
46,8,UBA1,Yash,Dhull,India,DDCA,11/11/2002,22,BATTER,RHB,,,,,4,DC,DC,0,Uncapped,30
47,8,UBA1,Abhinav,Manohar,India,KSCA,16/09/1994,30,BATTER,RHB,RIGHT ARM Leg Spin,,,,18,GT,GT,2,Uncapped,30
48,8,UBA1,Karun,Nair,India,VCA,06/12/1991,33,BATTER,RHB,RIGHT ARM Off Spin,,,,76,"RCB,RR,DD,PBKS,LSG",,,Uncapped,30
49,8,UBA1,Angkrish,Raghuvanshi,India,MCA,05/06/2004,20,BATTER,RHB,RIGHT ARM Off Spin,,,,10,KKR,KKR,10,Uncapped,30
50,8,UBA1,Anmolpreet,Singh,India,PCA,28/03/1998,27,BATTER,RHB,RIGHT ARM Off Spin,,,,9,"MI,SRH",SRH,2,Uncapped,30
51,8,UBA1,Atharva,Taide,India,VCA,26/04/2000,24,BATTER,LHB,LEFT ARM Slow Orthodox,,,,9,PBKS,PBKS,2,Uncapped,30
52,8,UBA1,Nehal,Wadhera,India,PCA,04/09/2000,24,BATTER,LHB,RIGHT ARM Leg Spin,,,,20,MI,MI,6,Uncapped,30
53,9,UAL1,Harpreet,Brar,India,PCA,16/09/1995,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,41,PBKS,PBKS,13,Uncapped,30
